"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/07/2025","660","680","680","660","97,14K","-2,94%"
"01/06/2025","680","660","680","660","77,99K","3,03%"
"01/05/2025","660","600","660","600","55,86K","10,00%"
"01/04/2025","600","615","615","600","34,10K","-2,44%"
"01/03/2025","615","625","625","615","25,72K","-1,60%"
"01/02/2025","625","570","625","570","20,21K","9,65%"
"01/01/2025","570","600","600","570","20,23K","-5,00%"
"01/12/2024","600","635","635","600","15,62K","-5,51%"
"01/11/2024","635","650","650","635","61,20K","-2,31%"
"01/10/2024","650","670","670","650","110,59K","-2,99%"
"01/09/2024","670","685","685","670","87,06K","-2,19%"
"01/08/2024","685","670","670","670","4,01K","0,74%"
"01/07/2024","680","685","685","685","26,21K","-2,86%"
"01/06/2024","700","685","685","685","34,20K","0,00%"
"01/05/2024","700","740","740","740","30,71K","-7,28%"
"01/04/2024","755","790","790","790","34,46K","-5,03%"
"01/03/2024","795","755","755","755","103,32K","0,63%"
"01/02/2024","790","780","780","780","21,13K","2,60%"
"01/01/2024","770","870","870","870","24,17K","-8,33%"
"01/12/2023","840","845","845","845","27,69K","-6,15%"
"01/11/2023","895","785","785","785","87,54K","13,29%"
"01/10/2023","790","845","845","845","66,52K","-6,51%"
"01/09/2023","845","920","920","920","18,14K","-8,15%"
"01/08/2023","920","870","870","870","37,20K","2,22%"
"01/07/2023","900","820","820","820","49,47K","11,11%"
"01/06/2023","810","770","770","770","54,23K","5,19%"
"01/05/2023","770","730","730","730","16,57K","-1,91%"
"01/04/2023","785","780","780","780","20,06K","-2,48%"
"01/03/2023","805","840","840","840","25,34K","-4,73%"
"01/02/2023","845","740","740","740","61,64K","9,74%"
"01/01/2023","770","925","925","925","39,39K","-17,20%"
"01/12/2022","930","925","925","925","31,62K","1,64%"
"01/11/2022","915","920","920","920","25,68K","-1,08%"
"01/10/2022","925","830","830","830","28,57K","8,82%"
"01/09/2022","850","845","845","845","17,80K","0,00%"
"01/08/2022","850","835","835","835","57,57K","0,00%"
"01/07/2022","850","865","865","865","75,39K","-3,41%"
"01/06/2022","880","800","800","800","103,50K","3,53%"
"01/05/2022","850","1.145","1.145","1.145","55,20K","-25,76%"
"01/04/2022","1.145","1.145","1.145","1.145","34,50K","-0,43%"
"01/03/2022","1.150","1.200","1.200","1.200","16,03K","-1,29%"
"01/02/2022","1.165","1.200","1.200","1.200","29,30K","-6,80%"
"01/01/2022","1.250","1.105","1.105","1.105","20,43K","5,04%"
"01/12/2021","1.190","1.300","1.300","1.300","63,92K","-14,70%"
"01/11/2021","1.395","1.185","1.185","1.185","83,13K","25,11%"
"01/10/2021","1.115","850","850","850","43,60K","32,74%"
"01/09/2021","840","820","820","820","103,43K","3,07%"
"01/08/2021","815","720","720","720","47,28K","13,19%"
"01/07/2021","720","620","620","620","110,30K","18,03%"
"01/06/2021","610","485","485","485","138,49K","24,49%"
"01/05/2021","490","415","415","415","14,03K","12,64%"
"01/04/2021","435","415","415","415","10,01K","3,57%"
"01/03/2021","420","390","390","390","9,92K","6,33%"
"01/02/2021","395","465","465","465","100,88K","-9,20%"
"01/01/2021","435","375","375","375","97,22K","20,83%"
"01/12/2020","360","350","350","350","27,65K","-2,70%"
"01/11/2020","370","350","350","350","181,08K","5,71%"
"01/10/2020","350","350","350","350","5,61K","-4,11%"
"01/09/2020","365","390","390","390","6,62K","-3,95%"
"01/08/2020","380","390","390","390","283,42K","-2,56%"
"01/07/2020","390","480","480","480","169,33K","-19,59%"
"01/06/2020","485","390","390","390","36,06K","18,29%"
"01/05/2020","410","385","385","385","18,61K","5,13%"
"01/04/2020","390","400","400","400","20,35K","-2,50%"
"01/03/2020","400","465","465","465","35,03K","-15,79%"
"01/02/2020","475","475","475","475","58,54K","2,15%"
"01/01/2020","465","465","465","465","63,18K","6,90%"
"01/12/2019","435","435","435","435","130,70K","1,16%"
"01/11/2019","430","430","430","430","6,33K","-2,27%"
"01/10/2019","440","440","440","440","9,06K","11,39%"
"01/09/2019","395","395","395","395","31,68K","-9,20%"
"01/08/2019","435","435","435","435","39,06K","1,16%"
"01/07/2019","430","430","430","430","24,52K","-3,37%"
"01/06/2019","445","445","445","445","22,06K","-19,09%"
"01/05/2019","550","550","550","550","15,95K","1,85%"
"01/04/2019","540","540","540","540","67,42K","0,00%"
"01/03/2019","540","540","540","540","11,42K","0,00%"
"01/02/2019","540","540","540","540","27,45K","18,68%"
"01/01/2019","455","455","455","455","9,19K","-28,91%"
"01/12/2018","640","640","640","640","56,03K","43,82%"
"01/11/2018","445","445","445","445","17,21K","-29,37%"
"01/10/2018","630","630","630","630","62,13K","5,88%"
"01/09/2018","595","595","595","595","28,04K","-2,46%"
"01/08/2018","610","610","610","610","19,58K","-12,23%"
"01/07/2018","695","695","695","695","43,02K","-7,33%"
"01/06/2018","750","750","750","750","47,44K","29,31%"
"01/05/2018","580","580","580","580","42,12K","-17,14%"
"01/04/2018","700","700","700","700","67,74K","4,48%"
"01/03/2018","670","670","670","670","96,39K","8,94%"
"01/02/2018","615","615","615","615","40,62K","20,59%"
"01/01/2018","510","510","510","510","63,23K","29,11%"
"01/12/2017","395","395","395","395","434,50K","0,00%"
"01/11/2017","395","395","395","395","18,60K","6,44%"
"01/10/2017","371","371","371","371","32,60K","6,03%"
"01/09/2017","350","350","350","350","51,60K","-12,49%"
"01/08/2017","400","400","400","400","26,50K","-16,32%"
"01/07/2017","478","478","478","478","7,00K","-16,15%"
"01/06/2017","570","570","570","570","27,60K","-7,09%"
"01/05/2017","614","614","614","614","28,50K","-9,10%"
"01/04/2017","675","675","675","675","43,90K","3,83%"
"01/03/2017","650","650","650","650","75,00K","3,08%"
"01/02/2017","631","631","631","631","33,60K","4,22%"
"01/01/2017","605","605","605","605","27,80K","-2,42%"
"01/12/2016","620","620","620","620","29,60K","0,00%"
"01/11/2016","620","620","620","620","49,00K","-17,34%"
"01/10/2016","750","750","750","750","20,20K","-25,00%"
"01/09/2016","1.000","1.000","1.000","1.000","35,80K","-2,93%"
"01/08/2016","1.030","1.030","1.030","1.030","35,50K","-1,89%"
"01/07/2016","1.050","1.050","1.050","1.050","16,40K","-13,93%"
"01/06/2016","1.220","1.220","1.220","1.220","24,80K","-8,96%"
"01/05/2016","1.340","1.340","1.340","1.340","22,10K","24,52%"
"01/04/2016","1.076","1.076","1.076","1.076","27,50K","-31,02%"
"01/03/2016","1.560","1.560","1.560","1.560","106,00K","59,18%"
"01/02/2016","980","980","980","980","229,20K","7,69%"
"01/01/2016","910","910","910","910","23,30K","0,00%"
"01/12/2015","910","910","910","910","12,50K","0,55%"
"01/11/2015","905","905","905","905","44,30K","0,56%"
"01/10/2015","900","900","900","900","22,50K","23,29%"
"01/09/2015","730","730","730","730","18,30K","0,69%"
"01/08/2015","725","725","725","725","551,40K","4,62%"
"01/07/2015","693","693","693","693","12,10K","7,43%"
"01/06/2015","645","645","645","645","164,90K","-2,27%"
"01/05/2015","660","660","660","660","133,30K","-4,35%"
"01/04/2015","690","690","690","690","142,00K","-10,39%"
"01/03/2015","770","770","770","770","250,40K","40,00%"
"01/02/2015","550","550","550","550","39,90K","5,77%"
"01/01/2015","520","520","520","520","62,40K","12,79%"
"01/12/2014","461","461","461","461","153,70K","-7,77%"
"01/11/2014","500","500","500","500","29,40K","0,00%"
"01/10/2014","500","500","500","500","86,80K","0,00%"
"01/09/2014","500","500","500","500","36,70K","1,21%"
"01/08/2014","494","494","494","494","181,40K","9,78%"
"01/07/2014","450","450","450","450","42,10K","0,00%"
"01/06/2014","450","450","450","450","16,50K","12,50%"
"01/05/2014","400","400","400","400","13,90K","0,00%"
"01/04/2014","400","400","400","400","17,90K","0,00%"
"01/03/2014","400","400","400","400","6,40K","-2,44%"
"01/02/2014","410","410","410","410","17,40K","2,50%"
"01/01/2014","400","400","400","400","13,80K","2,04%"
"01/12/2013","392","392","392","392","15,00K","-4,62%"
"01/11/2013","411","411","411","411","28,30K","5,38%"
"01/10/2013","390","390","390","390","23,70K","-9,30%"
"01/09/2013","430","430","430","430","22,20K","16,22%"
"01/08/2013","370","370","370","370","13,90K","0,00%"
"01/07/2013","370","370","370","370","25,50K","4,23%"
"01/06/2013","355","355","355","355","8,50K","-8,97%"
"01/05/2013","390","390","390","390","30,90K","-17,03%"
"01/04/2013","470","470","470","470","20,30K","-12,95%"
"01/03/2013","540","540","540","540","16,40K","14,65%"
"01/02/2013","471","471","471","471","51,80K","0,21%"
"01/01/2013","470","470","470","470","63,30K","2,17%"
"01/12/2012","460","460","460","460","51,60K","0,00%"
"01/11/2012","460","460","460","460","88,80K","2,22%"
"01/10/2012","450","450","450","450","52,30K","-8,16%"
"01/09/2012","490","490","490","490","435,00K","11,36%"
"01/08/2012","440","440","440","440","166,50K","104,65%"
"01/07/2012","215","215","215","215","60,60K","0,94%"
"01/06/2012","213","213","213","213","4,40K","6,50%"
"01/05/2012","200","200","200","200","42,40K","0,00%"
"01/04/2012","200","200","200","200","22,00K","0,00%"
"01/03/2012","200","200","200","200","37,50K","33,33%"
"01/02/2012","150","150","150","150","9,80K","1,35%"
"01/01/2012","148","148","148","148","35,60K","-10,33%"
"01/11/2011","165","165","165","165","4,00K","-4,04%"
"01/10/2011","172","172","172","172","4,20K","7,50%"
"01/09/2011","160","160","160","160","4,90K","0,00%"
"01/08/2011","160","160","160","160","50,50K","0,00%"
"01/07/2011","160","160","160","160","7,60K","0,00%"
"01/06/2011","160","160","160","160","10,60K","0,00%"
"01/05/2011","160","160","160","160","3,70K","-13,51%"
"01/02/2011","185","185","185","185","8,60K","-3,14%"
"01/01/2011","191","191","191","191","9,70K","6,08%"
"01/12/2010","180","180","180","180","118,90K","-9,97%"
"01/11/2010","200","200","200","200","69,80K","9,20%"
"01/10/2010","183","183","183","183","60,80K","-10,66%"
"01/09/2010","205","205","205","205","45,00K","27,13%"
"01/08/2010","161","161","161","161","2,40K","7,50%"
"01/07/2010","150","150","150","150","2,90K","-3,23%"
"01/06/2010","155","155","155","155","44,20K","-26,96%"
"01/05/2010","212","212","212","212","56,40K","76,83%"
"01/04/2010","120","120","120","120","154,40K","8,11%"
"01/03/2010","111","111","111","111","42,40K","-39,01%"
"01/02/2010","182","182","182","182","1,10K","-7,61%"
"01/01/2010","197","197","197","197","2,10K","-20,88%"
"01/10/2009","249","249","249","249","5,10K","-1,97%"
"01/08/2009","254","254","254","254","2,70K","-8,30%"
"01/07/2009","277","277","277","277","3,80K","0,00%"
"01/06/2009","277","277","277","277","3,10K","-7,67%"
"01/05/2009","300","300","300","300","2,40K","0,00%"
"01/04/2009","300","300","300","300","1,70K","0,00%"
"01/03/2009","300","300","300","300","0,30K","0,00%"
"01/01/2009","300","300","300","300","1,10K","-4,76%"
"01/12/2008","315","315","315","315","2,00K","-2,78%"
"01/11/2008","324","324","324","324","1,60K","-7,43%"
"01/10/2008","350","350","350","350","0,60K","0,00%"
"01/09/2008","350","350","350","350","11,40K","2,34%"
"01/08/2008","342","342","342","342","15,20K","42,50%"
"01/07/2008","240","240","240","240","29,80K","20,00%"
"01/04/2008","200","200","200","200","0,90K","0,00%"
"01/03/2008","200","200","200","200","9,90K","0,00%"
"01/02/2008","200","200","200","200","14,90K","0,00%"
"01/01/2008","200","200","200","200","7,40K","1,01%"
"01/12/2007","198","198","198","198","32,40K","-5,71%"
"01/11/2007","210","210","210","210","19,50K","-98,92%"
"01/10/2007","19.500","19.500","19.500","19.500","0,06K","16,42%"
"01/09/2007","16.750","16.750","16.750","16.750","0,11K","28,85%"
"01/07/2007","13.000","13.000","13.000","13.000","0,31K","0,46%"
"01/06/2007","12.940","12.940","12.940","12.940","0,01K","15,54%"
